Model,Pipeline_Raw,Pipeline,Difficulty_Raw,Dificuldade,Final Score,Critical Failure Rate,Context Recall,Context Precision,Retrieval Time (s),Inference Time (s),Chunk Recall@3,Chunk Recall@10,Chunk MRR@10
MediPhi Instruct,02_agentic,Agentic RAG,medias,Médias,0.44878,80.0,0.6266666666666666,0.56,2.575133333333333,5.5456666666666665,0.08518518518518518,0.12962962962962962,0.14074074074074072
MediPhi Instruct,02_agentic,Agentic RAG,dificeis,Difáceis,0.4078788,93.33333333333333,0.5466666666666667,0.52,2.6066666666666665,14.886533333333334,0.0851851851851852,0.1074074074074074,0.15317460317460316
MediPhi Instruct,03_hybrid_agent,Hybrid Agent RAG,faceis,Fáceis,0.49576666666666663,93.33333333333333,0.3333333333333334,0.3200000000000001,2.811466666666667,45.83299999999999,0.03333333333333333,0.03333333333333333,0.03333333333333333
MediPhi Instruct,03_hybrid_agent,Hybrid Agent RAG,medias,Médias,0.0,0.0,0.0,0.0,2.8400000000000003,77.59073333333335,0.029629629629629627,0.06666666666666667,0.0574074074074074
MediPhi Instruct,03_hybrid_agent,Hybrid Agent RAG,dificeis,Difáceis,0.0,0.0,0.0,0.0,2.5578000000000003,25.338333333333328,0.044444444444444446,0.059259259259259255,0.047619047619047616
MediPhi Instruct,04_fusion,Fusion RAG,faceis,Fáceis,0.0,0.0,0.0,0.0,4.0018,1.1306666666666665,0.0,0.0,0.0
MediPhi Instruct,04_fusion,Fusion RAG,medias,Médias,0.0,0.0,0.0,0.0,5.211,2.0135333333333336,0.0,0.0,0.0
MediPhi Instruct,04_fusion,Fusion RAG,dificeis,Difáceis,0.0,0.0,0.0,0.0,17.485200000000003,10.624199999999998,0.0,0.0,0.0
MediPhi Instruct,05_graph,Graph RAG,faceis,Fáceis,0.7212133333333332,46.666666666666664,0.7866666666666666,0.6666666666666667,0.0442,9.207133333333333,0.16296296296296295,0.1962962962962963,0.16759259259259257
MediPhi Instruct,05_graph,Graph RAG,medias,Médias,0.0,0.0,0.0,0.0,0.06393333333333336,12.518,0.07777777777777778,0.14444444444444443,0.13613756613756614
MediPhi Instruct,05_graph,Graph RAG,dificeis,Difáceis,0.5484849333333331,73.33333333333333,0.7200000000000001,0.6,0.06346666666666669,19.37226666666667,0.07592592592592591,0.14444444444444446,0.10537037037037036
MediPhi Instruct,07_guarded,Guarded RAG,faceis,Fáceis,0.8366666666666666,20.0,0.9066666666666666,0.8266666666666667,10.594866666666665,13.064733333333331,0.2037037037037037,0.24814814814814815,0.27666666666666667
MediPhi Instruct,07_guarded,Guarded RAG,medias,Médias,0.73,33.33333333333333,1.0,0.8000000000000002,30.393933333333337,263.41113333333334,0.22592592592592592,0.23703703703703702,0.23333333333333334
MediPhi Instruct,07_guarded,Guarded RAG,dificeis,Difáceis,0.6775666666666669,66.66666666666666,0.9600000000000001,0.8000000000000003,17.207266666666666,24.494733333333336,0.1851851851851852,0.2240740740740741,0.2414814814814815
