Model,Pipeline_Raw,Pipeline,Difficulty_Raw,Dificuldade,Final Score,Critical Failure Rate,Context Recall,Context Precision,Retrieval Time (s),Inference Time (s),Chunk Recall@3,Chunk Recall@10,Chunk MRR@10
Gemma 4:4b,06_naive,Naive RAG,faceis,Fáceis,0.9054399999999999,20.0,1.0,0.7600000000000001,0.04186666666666668,19.942533333333337,0.11851851851851854,0.15555555555555556,0.11061728395061729
Gemma 4:4b,06_naive,Naive RAG,medias,Médias,0.8948466666666666,20.0,1.0,0.8000000000000003,0.05506666666666669,22.58606666666667,0.05185185185185184,0.14074074074074072,0.07817460317460317
Gemma 4:4b,06_naive,Naive RAG,dificeis,Difáceis,0.8475800000000001,33.33333333333333,1.0,0.7866666666666668,0.0456,29.651333333333334,0.022222222222222223,0.12037037037037038,0.06228395061728396
Gemma 4:4b,01_standard,Standard RAG,faceis,Fáceis,0.8990799999999998,6.666666666666667,0.9466666666666667,0.6933333333333334,17.531733333333328,20.645,0.15555555555555556,0.20740740740740737,0.18703703703703706
Gemma 4:4b,01_standard,Standard RAG,medias,Médias,0.8578788000000002,13.333333333333334,0.8533333333333333,0.6933333333333332,20.118066666666667,21.737733333333335,0.0962962962962963,0.14814814814814814,0.12962962962962962
Gemma 4:4b,01_standard,Standard RAG,dificeis,Difáceis,0.8012133333333333,26.666666666666668,0.8800000000000001,0.7466666666666668,32.303666666666665,30.809799999999996,0.10370370370370371,0.16296296296296295,0.1611111111111111
Gemma 4:4b,02_agentic,Agentic RAG,faceis,Fáceis,0.8718066666666667,13.333333333333334,0.8933333333333332,0.7066666666666668,18.045733333333335,16.169933333333333,0.13333333333333333,0.18518518518518515,0.1811111111111111
Gemma 4:4b,02_agentic,Agentic RAG,medias,Médias,0.8000133333333335,26.666666666666668,0.7866666666666666,0.7466666666666667,33.07893333333333,25.157666666666668,0.06666666666666667,0.12962962962962962,0.10185185185185185
Gemma 4:4b,02_agentic,Agentic RAG,dificeis,Difáceis,0.8784848484848484,20.0,0.9866666666666667,0.8000000000000002,27.838466666666665,30.307599999999994,0.08888888888888888,0.18333333333333332,0.14037037037037037
Gemma 4:4b,03_hybrid_agent,Hybrid Agent RAG,faceis,Fáceis,0.9215066666666666,6.666666666666667,0.9333333333333333,0.7733333333333334,15.219933333333334,16.751199999999997,0.15555555555555556,0.20740740740740737,0.20444444444444443
Gemma 4:4b,03_hybrid_agent,Hybrid Agent RAG,medias,Médias,0.8721213333333335,20.0,0.8666666666666666,0.8000000000000002,23.77466666666667,24.53106666666667,0.0962962962962963,0.14814814814814814,0.14666666666666667
Gemma 4:4b,03_hybrid_agent,Hybrid Agent RAG,dificeis,Difáceis,0.879394,6.666666666666667,1.0,0.7733333333333334,26.36433333333333,32.739133333333335,0.08148148148148147,0.17962962962962964,0.1416931216931217
Gemma 4:4b,04_fusion,Fusion RAG,faceis,Fáceis,0.94,6.666666666666667,0.9333333333333333,0.88,15.658933333333332,10.877600000000001,0.14814814814814817,0.14814814814814817,0.18148148148148147
Gemma 4:4b,04_fusion,Fusion RAG,medias,Médias,0.8075666666666665,33.33333333333333,0.8266666666666665,0.68,21.389266666666668,18.113733333333336,0.1259259259259259,0.1259259259259259,0.18888888888888888
Gemma 4:4b,04_fusion,Fusion RAG,dificeis,Difáceis,0.8148533333333333,26.666666666666668,0.8266666666666667,0.7066666666666668,24.419400000000003,24.68546666666667,0.10925925925925925,0.1259259259259259,0.1685185185185185
Gemma 4:4b,05_graph,Graph RAG,faceis,Fáceis,0.8154533333333334,26.666666666666668,0.8266666666666665,0.72,0.02493333333333334,16.509066666666666,0.14074074074074072,0.17407407407407408,0.16296296296296295
Gemma 4:4b,05_graph,Graph RAG,medias,Médias,0.6545466666666666,60.0,0.6266666666666667,0.5466666666666666,0.037800000000000014,20.57166666666667,0.0,0.0,0.0
Gemma 4:4b,05_graph,Graph RAG,dificeis,Difáceis,0.7184933333333332,46.666666666666664,0.7200000000000001,0.64,0.023200000000000005,26.776066666666665,0.04074074074074074,0.1074074074074074,0.09037037037037036
Gemma 4:4b,07_guarded,Guarded RAG,faceis,Fáceis,0.9457599999999999,0.0,0.9466666666666667,0.8666666666666668,111.72706666666667,56.214933333333335,0.17777777777777778,0.2222222222222222,0.21851851851851853
Gemma 4:4b,07_guarded,Guarded RAG,medias,Médias,0.8542399999999998,20.0,0.9466666666666667,0.7599999999999999,89.20819999999999,46.934666666666665,0.1259259259259259,0.14814814814814814,0.17222222222222222
Gemma 4:4b,07_guarded,Guarded RAG,dificeis,Difáceis,0.8512120666666668,13.333333333333334,0.9466666666666667,0.8800000000000001,38.22426666666666,29.85373333333333,0.10925925925925926,0.13333333333333333,0.14148148148148149
MedGemma 4b,06_naive,Naive RAG,faceis,Fáceis,0.8063533333333334,40.0,0.9066666666666666,0.88,0.029933333333333347,19.189066666666665,0.11851851851851854,0.15555555555555556,0.11061728395061729
MedGemma 4b,06_naive,Naive RAG,medias,Médias,0.72758,46.666666666666664,0.8666666666666669,0.8133333333333332,0.030200000000000008,19.27013333333333,0.0,0.0,0.0
MedGemma 4b,06_naive,Naive RAG,dificeis,Difáceis,0.6812199999999999,60.0,0.8666666666666669,0.7066666666666666,0.04873333333333334,28.375133333333334,0.022222222222222223,0.12037037037037038,0.06228395061728396
MedGemma 4b,01_standard,Standard RAG,faceis,Fáceis,0.8318199999999999,53.333333333333336,0.9733333333333333,0.46666666666666673,2.9435333333333333,6.895333333333334,0.11851851851851854,0.1962962962962963,0.15246913580246912
MedGemma 4b,01_standard,Standard RAG,medias,Médias,0.6603066666666666,100.0,0.9066666666666667,0.24000000000000007,2.5498666666666665,24.099733333333333,0.08518518518518518,0.15185185185185185,0.11370370370370371
MedGemma 4b,01_standard,Standard RAG,dificeis,Difáceis,0.6563599999999999,100.0,0.8533333333333335,0.22666666666666674,2.8342666666666667,8.613666666666665,0.06666666666666667,0.15555555555555556,0.10576719576719576
