Pipeline,Section F1,Section Recall,All Required,Hit@10,MRR@10,nDCG@10,Retrieval Time (s)
Standard RAG,0.570568783068783,0.7226851851851852,0.5722222222222222,0.14861111111111105,0.1380320399764844,0.1227081409504121,7.996794444444443
Agentic RAG,0.5092724867724868,0.5861111111111111,0.4166666666666666,0.12870370370370365,0.12032333921222806,0.10573712829509475,8.833738888888888
Hybrid Agent RAG,0.49026455026455024,0.5472222222222222,0.39444444444444443,0.12222222222222218,0.10524323927101699,0.09430303098906907,7.618133333333334
Fusion RAG,0.39470899470899473,0.4634259259259259,0.3277777777777778,0.10138888888888886,0.1318518518518518,0.09851149055829105,10.023888888888889
Graph RAG,0.37822751322751325,0.45740740740740743,0.31666666666666665,0.09629629629629627,0.08599206349206345,0.0721402779832067,0.047744444444444416
Naive RAG,,,0.0,0.15740740740740736,0.1032973251028806,0.10790554068571201,0.05276666666666663
Guarded RAG,0.47495069745069746,0.8583333333333334,0.7444444444444445,0.20092592592592587,0.21168430335096997,0.17773744673025002,38.97238333333333
